# X(km) Y(km) Z(km) Density(kg/m3)
-1.500000 10.666667 6.000000 -0.070198
-1.500000 10.666667 8.000000 0.047173
-1.500000 10.666667 10.000000 0.152868
-1.500000 10.666667 12.000000 0.241260
-1.500000 13.619048 0.000000 -0.006381
-1.500000 13.619048 2.000000 -0.234737
-1.500000 13.619048 4.000000 -0.155387
-1.500000 13.619048 6.000000 -0.034828
-1.500000 13.619048 8.000000 0.081952
-1.500000 13.619048 10.000000 0.192405
-1.500000 13.619048 12.000000 0.286676
-1.500000 16.571429 0.000000 -0.006556
-1.500000 16.571429 2.000000 -0.259337
-1.500000 16.571429 4.000000 -0.224575
-1.500000 16.571429 6.000000 -0.051256
-1.500000 16.571429 8.000000 0.097800
-1.500000 16.571429 10.000000 0.224643
-1.500000 16.571429 12.000000 0.327356
-1.500000 19.523810 0.000000 -0.003389
-1.500000 19.523810 2.000000 -0.085948
-1.500000 19.523810 4.000000 -0.210777
-1.500000 19.523810 6.000000 -0.049895
-1.500000 19.523810 8.000000 0.111782
-1.500000 19.523810 10.000000 0.249294
-1.500000 19.523810 12.000000 0.357698
-1.500000 22.476190 0.000000 -0.008601
-1.500000 22.476190 2.000000 -0.334912
-1.500000 22.476190 4.000000 -0.302863
-1.500000 22.476190 6.000000 -0.056870
-1.500000 22.476190 8.000000 0.123350
-1.500000 22.476190 10.000000 0.263817
-1.500000 22.476190 12.000000 0.372360
-1.500000 25.428571 0.000000 -0.004001
-1.500000 25.428571 2.000000 -0.092716
-1.500000 25.428571 4.000000 -0.066044
-1.500000 25.428571 6.000000 0.015256
-1.500000 25.428571 8.000000 0.140854
-1.500000 25.428571 10.000000 0.264302
-1.500000 25.428571 12.000000 0.366786
-1.500000 28.380952 0.000000 -0.008889
-1.500000 28.380952 2.000000 -0.365224
-1.500000 28.380952 4.000000 -0.085353
-1.500000 28.380952 6.000000 0.012065
