# X(km) Y(km) gz_pred(mGal)
43.590000 27.200000 3.950347
43.590000 28.680000 3.494029
43.590000 30.160000 3.036878
43.590000 31.650000 2.620350
43.590000 33.130000 2.246242
43.590000 34.610000 1.930724
43.590000 36.100000 1.658881
43.590000 37.580000 1.431191
43.590000 39.060000 1.233326
43.590000 40.540000 1.068149
43.590000 42.030000 0.928618
43.590000 43.510000 0.810886
45.070000 0.500000 0.685988
45.070000 1.980000 0.781187
45.070000 3.470000 0.888489
45.070000 4.950000 1.015696
45.070000 6.430000 1.161853
45.070000 7.920000 1.336943
45.070000 9.400000 1.537289
45.070000 10.880000 1.771748
45.070000 12.370000 2.041113
45.070000 13.850000 2.337874
45.070000 15.330000 2.662136
45.070000 16.810000 2.997665
45.070000 18.300000 3.320985
45.070000 19.780000 3.597787
45.070000 21.260000 3.772904
45.070000 22.750000 3.824069
45.070000 24.230000 3.726716
45.070000 25.710000 3.513625
45.070000 27.200000 3.218520
45.070000 28.680000 2.888668
45.070000 30.160000 2.550699
45.070000 31.650000 2.232613
45.070000 33.130000 1.941803
45.070000 34.610000 1.688935
